aX,aY,aZ,gX,gY,gZ
-1.896,3.067,0.393,-12.939,-33.752,-353.577
-2.405,2.821,0.202,-14.404,-45.959,-402.039
-2.968,2.293,0.081,-24.719,-63.599,-451.355
-3.397,1.477,-0.052,-53.406,-84.900,-493.958
-3.686,0.375,0.060,-106.995,-116.089,-523.437
-3.679,-0.844,0.557,-171.387,-156.128,-536.987
-3.326,-2.350,1.483,-220.581,-196.167,-532.288
-2.625,-3.885,2.798,-253.723,-224.060,-503.601
-1.663,-4.000,3.811,-247.620,-223.022,-448.853
-0.797,-4.000,4.000,-202.271,-191.040,-377.869
-0.232,-4.000,3.713,-138.672,-145.813,-303.955
0.061,-4.000,2.854,-79.102,-102.112,-232.422
0.112,-4.000,1.902,-44.312,-70.679,-164.307
0.044,-3.725,1.211,-29.541,-57.495,-106.445
-0.033,-3.095,0.785,-19.409,-57.800,-58.044
-0.133,-2.484,0.651,-13.794,-66.833,-18.127
-0.203,-1.876,0.811,-15.320,-79.834,12.451
-0.205,-1.251,1.099,-19.409,-90.759,34.668
-0.158,-0.675,1.383,-15.259,-95.032,46.265
-0.077,-0.260,1.598,-5.859,-93.628,47.180
-0.011,-0.055,1.820,1.526,-88.257,40.405
0.055,-0.005,1.965,4.211,-78.796,30.823
0.077,-0.024,2.044,3.967,-66.956,22.217
0.075,-0.005,2.020,-4.883,-53.833,16.968
0.071,0.057,1.978,-15.381,-41.931,13.184
0.058,0.060,1.905,-21.118,-31.250,7.568
0.051,-0.006,1.812,-22.095,-21.301,0.610
0.018,-0.121,1.722,-22.766,-12.756,-4.700
0.010,-0.189,1.568,-23.865,-5.676,-8.667
0.006,-0.252,1.391,-21.790,-0.793,-11.414
-0.004,-0.361,1.254,-16.052,1.526,-13.428
-0.009,-0.475,1.179,-12.207,1.404,-13.000
-0.001,-0.548,1.181,-10.803,-0.366,-9.705
0.020,-0.547,1.214,-8.667,-1.831,-4.272
0.042,-0.495,1.257,-5.737,-2.258,0.732
0.050,-0.434,1.331,-2.686,-1.709,5.432
0.047,-0.360,1.348,-1.038,0.671,9.705
0.052,-0.283,1.319,0.305,3.967,12.756

-0.243,-0.729,1.654,27.954,33.325,53.101
